INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-02-01T17:00:00-00:00,2023-02-01T18:00:00-00:00,2023-02-01,10,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,99.40874,1
2023-02-01T16:00:00-00:00,2023-02-01T17:00:00-00:00,2023-02-01,9,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,109.40401,1
2023-02-01T14:00:00-00:00,2023-02-01T15:00:00-00:00,2023-02-01,7,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,155.64128,1
2023-02-01T20:00:00-00:00,2023-02-01T21:00:00-00:00,2023-02-01,13,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,90.03716,1
2023-02-02T00:00:00-00:00,2023-02-02T01:00:00-00:00,2023-02-01,17,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,117.1984,1
2023-02-02T04:00:00-00:00,2023-02-02T05:00:00-00:00,2023-02-01,21,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,125.42375,1
2023-02-01T12:00:00-00:00,2023-02-01T13:00:00-00:00,2023-02-01,5,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,115.15397,1
2023-02-01T19:00:00-00:00,2023-02-01T20:00:00-00:00,2023-02-01,12,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,89.04002,1
2023-02-01T22:00:00-00:00,2023-02-01T23:00:00-00:00,2023-02-01,15,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,88.91509,1
2023-02-01T10:00:00-00:00,2023-02-01T11:00:00-00:00,2023-02-01,3,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,108.87152,1
2023-02-01T13:00:00-00:00,2023-02-01T14:00:00-00:00,2023-02-01,6,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,132.45769,1
2023-02-02T06:00:00-00:00,2023-02-02T07:00:00-00:00,2023-02-01,23,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,114.499,1
2023-02-02T01:00:00-00:00,2023-02-02T02:00:00-00:00,2023-02-01,18,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,144.57132,1
2023-02-02T03:00:00-00:00,2023-02-02T04:00:00-00:00,2023-02-01,20,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,140.24734,1
2023-02-02T05:00:00-00:00,2023-02-02T06:00:00-00:00,2023-02-01,22,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,122.69698,1
2023-02-02T07:00:00-00:00,2023-02-02T08:00:00-00:00,2023-02-01,24,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,111.81865,1
2023-02-01T18:00:00-00:00,2023-02-01T19:00:00-00:00,2023-02-01,11,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,97.35459,1
2023-02-02T02:00:00-00:00,2023-02-02T03:00:00-00:00,2023-02-01,19,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,149.026,1
2023-02-01T23:00:00-00:00,2023-02-02T00:00:00-00:00,2023-02-01,16,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,93.25829,1
2023-02-01T08:00:00-00:00,2023-02-01T09:00:00-00:00,2023-02-01,1,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,114.3168,1
2023-02-01T15:00:00-00:00,2023-02-01T16:00:00-00:00,2023-02-01,8,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,142.07268,1
2023-02-01T21:00:00-00:00,2023-02-01T22:00:00-00:00,2023-02-01,14,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,88.19291,1
2023-02-01T11:00:00-00:00,2023-02-01T12:00:00-00:00,2023-02-01,4,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,110.28991,1
2023-02-01T09:00:00-00:00,2023-02-01T10:00:00-00:00,2023-02-01,2,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,110.81165,1
2023-02-02T00:00:00-00:00,2023-02-02T01:00:00-00:00,2023-02-01,17,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-02-02T02:00:00-00:00,2023-02-02T03:00:00-00:00,2023-02-01,19,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-02-01T08:00:00-00:00,2023-02-01T09:00:00-00:00,2023-02-01,1,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-02-01T12:00:00-00:00,2023-02-01T13:00:00-00:00,2023-02-01,5,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-02-01T16:00:00-00:00,2023-02-01T17:00:00-00:00,2023-02-01,9,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
