Supply 04/27/2024,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,6206,6210,6183,6227,6300,6324,6356,6399,6416,6460,6467,6463,6478,6505,6529,6535,6515,6514,6518,6481,6484,6449,6419,6409,6403,6408,6419,6396,6402,6386,6396,6440,6450,6458,6487,6454,6444,6421,6389,6407,6423,6425,6387,6343,6325,6279,6261,6250,6249,6254,6210,6205,6235,6247,6274,6288,6287,6267,6235,6213,6190,6162,6122,6103,6103,6092,6047,5975,5942,5925,5931,5936,5881,5904,6070,6190,6427,6702,7063,7466,8014,8612,9277,9989,10731,11521,12214,12775,13196,13728,14094,14578,15215,15726,16182,16312,16777,17288,17457,17757,18073,18242,18368,18429,18341,18391,18346,18228,18345,18543,18742,18855,18860,18772,18742,18657,18519,18206,18274,18414,18462,18958,19339,19452,19444,19225,19291,19304,19272,19279,19207,19055,18948,18780,18592,18664,18597,18569,18510,18471,18474,18371,18182,18205,18308,18467,18651,18600,18429,18228,18194,18260,18423,18546,18630,18497,18374,18388,18470,18327,18384,18368,18456,18822,18950,18752,18639,18534,18551,18796,19012,19266,18676,18039,17882,18143,18405,18464,18120,17955,18033,18790,18799,18843,19119,18798,18799,19006,19014,19056,19114,19087,18873,18310,18214,18595,18768,18734,18851,19128,19155,19286,19677,19696,19340,19035,18905,18754,18821,18993,19085,19115,18981,18653,18347,17911,17359,16650,15902,15178,14392,13616,12821,12031,11249,10565,9842,9139,8462,7861,7425,7076,6794,6618,6460,6329,6248,6226,6207,6168,6113,6080,6109,6123,6122,6113,6107,6093,6083,6079,6118,6160,6253,6301,6322,6366,6374,6374,6368,6374,6367,6363,6399,6411,6429,6438,6450,6443,6429,6406,6370,6368,6412,6411,6384,6385,6397,6411,6419,6421,6446,6443,6430,6407,6362,6334,6299,6252,
Natural gas,3190,3199,3163,3093,3087,3130,3177,3180,3213,3162,3105,3115,3060,3007,3045,3041,3014,2994,2990,2989,2967,2894,2862,2816,2727,2618,2534,2504,2507,2507,2508,2505,2504,2501,2503,2502,2492,2341,2260,2288,2287,2242,2224,2225,2228,2230,2229,2230,2229,2227,2232,2233,2234,2233,2231,2235,2234,2231,2231,2232,2232,2233,2249,2258,2259,2256,2259,2314,2361,2373,2427,2484,2514,2576,2630,2632,2639,2606,2566,2454,2279,2082,1794,1679,1616,1649,1667,1644,1491,1391,1361,1361,1372,1453,1521,1584,1610,1669,1667,1645,1626,1597,1594,1604,1583,1589,1559,1553,1558,1613,1638,1642,1652,1595,1565,1530,1517,1481,1462,1466,1472,1477,1469,1470,1476,1480,1489,1488,1483,1485,1481,1482,1490,1569,1606,1609,1565,1545,1508,1510,1543,1514,1501,1504,1505,1499,1495,1490,1492,1493,1493,1496,1496,1496,1493,1491,1488,1490,1506,1517,1519,1516,1517,1449,1422,1428,1438,1437,1443,1480,1540,1561,1556,1557,1526,1516,1515,1518,1520,1508,1492,1314,1215,1171,1155,1148,1150,1152,1148,1155,1156,1156,1173,1175,1171,1175,1186,1214,1224,1224,1238,1248,1262,1286,1299,1282,1220,1171,1160,1189,1275,1328,1341,1380,1407,1403,1413,1475,1499,1497,1482,1477,1479,1526,1595,1665,1800,1879,1867,1811,1678,1803,1916,1978,2034,2144,2183,2243,2272,2272,2285,2233,2154,2108,2088,2078,2013,1946,1904,1862,1872,1928,1953,1907,1928,1977,1994,1939,1900,1876,1856,1887,1930,1901,1941,2006,2042,2104,2155,2172,2220,2261,2275,2286,2298,2301,2303,2300,2293,2294,2291,2304,2318,2319,2319,2322,2320,2321
Large hydro,3937,3695,3615,3644,3683,3675,3681,3698,3684,3665,3656,3679,3675,3638,3625,3642,3652,3653,3638,3650,3498,3340,3326,3318,3284,3253,3235,3210,3224,3218,3215,3198,3226,3207,3204,3180,3209,3237,3240,3218,3220,3244,3228,3210,3201,3225,3224,3238,3232,3343,3403,3435,3429,3439,3441,3449,3452,3430,3433,3416,3389,3326,3341,3357,3372,3321,3338,3352,3353,3310,3314,3312,3323,3344,3415,3427,3377,3346,3358,3387,3394,3387,3322,3310,3250,2775,2490,2526,2545,2549,2520,2533,2477,2404,2327,2294,2333,2328,2307,2304,2295,2286,2215,2181,2184,2169,2161,2116,2094,1916,1781,1671,1603,1541,1471,1430,1452,1469,1499,1487,1445,1349,1272,1272,1258,1269,1240,1278,1275,1289,1273,1240,1255,1249,1254,1190,1180,1192,1190,1146,1150,1174,1172,1193,1187,1142,1144,1127,1121,1117,1142,1152,1154,1142,1148,1148,1149,1141,1161,1171,1160,1148,1159,1162,1152,1164,1177,1166,1139,1118,1136,1134,1165,1168,1154,1146,1125,1153,1140,1170,1181,1186,1199,1197,1191,1191,1214,1204,1182,1191,1183,1203,1245,1265,1299,1353,1376,1419,1428,1445,1404,1513,1562,1622,1661,1777,1785,1807,1850,1946,2015,2043,2042,2086,2381,2468,2481,2658,2968,3031,3439,3530,3549,3567,3591,3582,3643,3666,3748,3823,3892,3923,3958,3967,3974,4000,3993,3982,3938,3987,4001,4037,4019,4010,4001,4022,4043,4023,4017,4011,4013,4004,4012,3968,3970,3967,3966,3961,3957,3941,3955,3952,3947,3961,3976,3871,3869,3852,3871,3867,3865,3861,3854,3853,3854,3852,3847,3845,3546,3508,3503,3510,3508,3470,3485,3478,3474,3491
Imports,6261,5999,5893,5793,5856,5916,5961,6012,5932,5985,5998,5947,5923,5908,5893,6015,6042,6057,6041,6035,6229,6308,6292,6253,6260,6318,6408,6327,6223,6193,6191,6150,6120,6147,6072,6076,6013,6170,6178,6158,6274,6270,6311,6272,6228,6206,6206,6191,6151,6109,6143,6118,6036,6061,6049,5980,5903,5869,5875,5891,5982,6101,6154,6143,6088,6152,6245,6247,6267,6204,6174,6056,5988,5740,5311,5206,5177,5102,4959,4814,4689,4401,4186,3892,3075,2688,2200,1567,1202,991,951,717,313,187,49,-203,-784,-1527,-2020,-2465,-2429,-2247,-2205,-2222,-2053,-2085,-2204,-2402,-2663,-2845,-2937,-3046,-2891,-2808,-2724,-2746,-2661,-2669,-2692,-2816,-2868,-2902,-2965,-3208,-3291,-3262,-3372,-3553,-3664,-3783,-3750,-3657,-3603,-3416,-3311,-3281,-3185,-3180,-3118,-3273,-3309,-3400,-3596,-3753,-3861,-3662,-3737,-3868,-3765,-3496,-3576,-3753,-3845,-3785,-3789,-3779,-3790,-4146,-4233,-4294,-4516,-4551,-4770,-4646,-4600,-4633,-4833,-4723,-4719,-4767,-4685,-4862,-4797,-4810,-4811,-4819,-4749,-4638,-4707,-4601,-4592,-4712,-4650,-4737,-4939,-4919,-4882,-5127,-5117,-5293,-5496,-5613,-5442,-5259,-5327,-5272,-5596,-5521,-5575,-5623,-5753,-5656,-5835,-5669,-5288,-4850,-4419,-4328,-4538,-4589,-4564,-4507,-4442,-4356,-4435,-3938,-2798,-2041,-1565,-967,-940,-464,111,988,1645,1745,1913,2140,2604,2534,2496,2596,2799,3042,3216,3336,3361,3459,3534,3575,3490,3352,3365,3390,3443,3426,3429,3426,3434,3460,3458,3408,3417,3557,3672,3741,3832,3909,3973,3938,3973,3943,3936,4078,4490,4655,4862,4852,4889,5245,5371,5523,5626,5614,5517,5555,5618,5412,5592,5529,5465,5599,5822,5974,6056,6051,6110,6168
Batteries,133,711,975,1005,791,655,477,383,370,281,252,191,190,189,90,-68,-132,-193,-269,-296,-416,-247,-247,-202,-122,-64,-119,-22,-5,11,-76,-101,-139,-191,-206,-185,-171,-156,-62,-109,-273,-293,-302,-297,-300,-276,-273,-263,-271,-250,-259,-268,-237,-269,-269,-221,-152,-96,-69,-46,-56,-8,41,69,136,130,126,148,170,293,301,294,361,687,993,916,793,727,603,447,210,38,-109,-446,-247,-101,43,65,22,-281,-659,-880,-1048,-1501,-1913,-1920,-1774,-1465,-1254,-1164,-1592,-2021,-2199,-2408,-2609,-2698,-2676,-2476,-2414,-2371,-2442,-2459,-2684,-2726,-2835,-2804,-2936,-2737,-2915,-3027,-3084,-3516,-3893,-3843,-3831,-3835,-3912,-3904,-3834,-3851,-3951,-3992,-4029,-4287,-4331,-4420,-4480,-4540,-4452,-4323,-4441,-4272,-4092,-4043,-4099,-4469,-4491,-4311,-4353,-4546,-4499,-4491,-4556,-4821,-4906,-4794,-4686,-4496,-4546,-4350,-4180,-4124,-4035,-4434,-4533,-4364,-4073,-4008,-4023,-4278,-4616,-4680,-4309,-3633,-3339,-3477,-3740,-3854,-3381,-3256,-3280,-3686,-3671,-3439,-3406,-3027,-2926,-2821,-2612,-2374,-2113,-1839,-1849,-1328,-946,-1156,-993,-787,-588,-605,-445,-480,-509,-514,-513,-720,-844,-547,-184,-206,-365,-272,-8,373,619,680,65,-213,-278,13,584,965,1441,1438,1691,2342,2813,3299,3603,4418,5150,5338,5417,5357,5366,5377,5523,5552,5581,5639,5815,6171,6306,6401,6403,6402,6428,6491,6523,6515,6462,6397,6278,6288,6140,5922,5807,5755,5714,5703,5606,5561,5401,5154,4597,4268,3902,3824,3636,3211,2988,2672,2465,2334,2312,2187,1952,1962,1927,1943,1921,1674,1348,1137,1002,958,861,690
Nuclear,1143,1143,1143,1143,1142,1143,1143,1143,1143,1142,1142,1143,1142,1142,1143,1142,1143,1142,1142,1143,1142,1142,1142,1142,1143,1142,1143,1142,1143,1143,1142,1143,1143,1143,1143,1143,1142,1143,1142,1142,1142,1143,1142,1143,1143,1143,1143,1143,1142,1143,1143,1142,1142,1143,1142,1142,1142,1143,1142,1142,1142,1142,1142,1142,1142,1142,1143,1142,1143,1143,1142,1143,1142,1142,1142,1143,1142,1143,1142,1143,1142,1143,1142,1143,1143,1142,1143,1142,1142,1142,1142,1142,1142,1143,1142,1142,1142,1142,1142,1142,1142,1142,1141,1142,1141,1142,1141,1142,1142,1141,1143,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1143,1142,1143,1142,1142,1142,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1144,1144,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1142,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1144,1144,1143,1144,1143,1144,1143,1142,1143,1143,1143,1143,1143,1143,1143,1143,1142,1143,1142,1143,1142,1143,1142,1143,1142,1143,1143,1143,1142,1142,1143,1142,1143,1143,1143,1143,1142,1143,1142,1143,1143,1143,1142,1143,1143,1142,1142,1143,1143,1144,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1144,1144,1144,1143,1143,1143,1144,1144,1143,1144,1143,1142,1144,1143,1143,1143,1143,1143,1143,1142,1143,1143,1143,1143,1143,1143,1143,1143,1142,1143,1142,1143,1142,1142,1142,1142,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1144,1144,1144,1144,1143,1143,1144,1142,1144,1143,1143,1144,1143,1143,1143,1143,1143,1144,1143
Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
